index,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,day_of_trip,pickup_zip,pickup_borough,dropoff_zip,dropoff_borough
0,id2875421,2,3/14/16 17:24,3/14/16 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,Monday,10023,Manhattan,10065,Manhattan
1,id2377394,1,6/12/16 0:43,6/12/16 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,Sunday,10010,Manhattan,10012,Manhattan
2,id3858529,2,1/19/16 11:35,1/19/16 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,Tuesday,10019,Manhattan,10038,Manhattan
3,id3504673,2,4/6/16 19:32,4/6/16 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,Wednesday,10013,Manhattan,10004,Manhattan
4,id2181028,2,3/26/16 13:30,3/26/16 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,Saturday,10025,Manhattan,10024,Manhattan
5,id0801584,2,1/30/16 22:01,1/30/16 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,Saturday,10016,Manhattan,10001,Manhattan
6,id1813257,1,6/17/16 22:34,6/17/16 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,Friday,10022,Manhattan,10021,Manhattan
7,id1324603,2,5/21/16 7:54,5/21/16 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,Saturday,10025,Manhattan,11106,Queens
8,id1301050,1,5/27/16 23:12,5/27/16 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,Friday,10011,Manhattan,10003,Manhattan
9,id0012891,2,3/10/16 21:45,3/10/16 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,Thursday,10016,Manhattan,10024,Manhattan
10,id1436371,2,5/10/16 22:08,5/10/16 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,Tuesday,10019,Manhattan,10014,Manhattan
11,id1299289,2,5/15/16 11:16,5/15/16 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,Sunday,10001,Manhattan,10021,Manhattan
12,id1187965,2,2/19/16 9:52,2/19/16 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,Friday,10022,Manhattan,10019,Manhattan
13,id0799785,2,6/1/16 20:58,6/1/16 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,Wednesday,10021,Manhattan,10065,Manhattan
14,id2900608,2,5/27/16 0:43,5/27/16 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,Friday,10003,Manhattan,10024,Manhattan
15,id3319787,1,5/16/16 15:29,5/16/16 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,Monday,10021,Manhattan,10075,Manhattan
16,id3379579,2,4/11/16 17:29,4/11/16 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,Monday,10018,Manhattan,10012,Manhattan
17,id1154431,1,4/14/16 8:48,4/14/16 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,Thursday,10001,Manhattan,10012,Manhattan
18,id3552682,1,6/27/16 9:55,6/27/16 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,Monday,10007,Manhattan,10016,Manhattan
19,id3390316,2,6/5/16 13:47,6/5/16 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,Sunday,10010,Manhattan,10003,Manhattan
20,id2070428,1,2/28/16 2:23,2/28/16 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,Sunday,10016,Manhattan,10022,Manhattan
21,id0809232,2,4/1/16 12:12,4/1/16 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,Friday,10017,Manhattan,10065,Manhattan
22,id2352683,1,4/9/16 3:34,4/9/16 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,Saturday,10018,Manhattan,10011,Manhattan
23,id1603037,1,6/25/16 10:36,6/25/16 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,Saturday,10001,Manhattan,10005,Manhattan
25,id0129640,2,2/14/16 13:27,2/14/16 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,Sunday,10075,Manhattan,10009,Manhattan
26,id3587298,1,2/27/16 21:56,2/27/16 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,Saturday,10018,Manhattan,10026,Manhattan
27,id2104175,1,6/20/16 23:07,6/20/16 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,Monday,11211,Brooklyn,11216,Brooklyn
28,id3973319,2,6/13/16 21:57,6/13/16 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,Monday,10002,Manhattan,11201,Brooklyn
30,id0266980,1,5/17/16 10:47,5/17/16 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,Tuesday,10022,Manhattan,10012,Manhattan
31,id2822549,2,5/21/16 13:03,5/21/16 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,Saturday,10013,Manhattan,11231,Brooklyn
32,id3075902,2,5/10/16 19:27,5/10/16 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,Tuesday,10038,Manhattan,10016,Manhattan
34,id3970352,1,1/9/16 12:55,1/9/16 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,Saturday,10007,Manhattan,10012,Manhattan
35,id3361153,1,3/11/16 7:11,3/11/16 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,Friday,10001,Manhattan,10017,Manhattan
36,id1870624,1,1/5/16 15:29,1/5/16 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,Tuesday,10075,Manhattan,10065,Manhattan
37,id2403238,1,6/23/16 23:00,6/23/16 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,Thursday,10003,Manhattan,10009,Manhattan
38,id3323083,1,5/27/16 14:26,5/27/16 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,Friday,10020,Manhattan,10003,Manhattan
39,id3720663,1,5/10/16 16:14,5/10/16 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,Tuesday,10023,Manhattan,10028,Manhattan
40,id0578558,1,4/21/16 21:28,4/21/16 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,Thursday,10001,Manhattan,10025,Manhattan
41,id2573056,2,4/14/16 13:27,4/14/16 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,Thursday,10017,Manhattan,10065,Manhattan
42,id2129090,1,3/14/16 14:05,3/14/16 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,Monday,10022,Manhattan,10021,Manhattan
43,id3961107,1,3/19/16 1:12,3/19/16 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,Saturday,10016,Manhattan,10009,Manhattan
44,id3326491,2,2/12/16 7:41,2/12/16 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,Friday,10010,Manhattan,10012,Manhattan
45,id0718344,2,6/13/16 15:52,6/13/16 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,Monday,10004,Manhattan,10023,Manhattan
46,id3188770,1,1/3/16 16:59,1/3/16 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,Sunday,10003,Manhattan,10002,Manhattan
47,id1956279,2,2/26/16 8:37,2/26/16 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,Friday,10023,Manhattan,10025,Manhattan
48,id2391523,1,5/18/16 21:50,5/18/16 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,Wednesday,10065,Manhattan,10012,Manhattan
49,id2662609,1,4/10/16 19:11,4/10/16 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,Sunday,10065,Manhattan,10025,Manhattan
50,id2067879,2,1/19/16 23:19,1/19/16 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,Tuesday,10001,Manhattan,10465,Bronx
51,id1939961,1,5/7/16 13:18,5/7/16 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,Saturday,10023,Manhattan,10003,Manhattan
52,id0675800,2,2/15/16 9:25,2/15/16 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,Monday,10017,Manhattan,10001,Manhattan
53,id2569332,1,4/13/16 14:24,4/13/16 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,Wednesday,10024,Manhattan,10028,Manhattan
54,id0526266,2,5/15/16 9:42,5/15/16 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,Sunday,10035,Manhattan,10009,Manhattan
56,id1388344,2,1/2/16 15:41,1/2/16 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,Saturday,10019,Manhattan,10016,Manhattan
57,id1079955,1,4/22/16 11:28,4/22/16 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,Friday,10002,Manhattan,10036,Manhattan
58,id0256505,1,3/14/16 15:04,3/14/16 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,Monday,10001,Manhattan,10012,Manhattan
59,id1530524,1,3/19/16 17:41,3/19/16 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,Saturday,10021,Manhattan,10010,Manhattan
60,id1674872,1,2/29/16 2:46,2/29/16 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,Monday,11211,Brooklyn,11205,Brooklyn
61,id1040444,2,1/7/16 17:01,1/7/16 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,Thursday,10017,Manhattan,10001,Manhattan
62,id1674996,1,5/13/16 12:32,5/13/16 12:40,1,-74.00180054,40.72613525,-74.00715637,40.74080658,Friday,10012,Manhattan,10014,Manhattan
63,id1965939,1,5/24/16 12:16,5/24/16 12:28,1,-73.99409485,40.7615509,-73.9806366,40.78963852,Tuesday,10036,Manhattan,10024,Manhattan
64,id0442192,1,4/10/16 16:07,4/10/16 16:10,1,-74.00632477,40.73339081,-74.00000763,40.74325562,Sunday,10014,Manhattan,10011,Manhattan
65,id0515898,2,5/21/16 17:38,5/21/16 17:46,1,-74.00257111,40.73931122,-73.99188232,40.74499893,Saturday,10011,Manhattan,10001,Manhattan
66,id1182327,2,2/29/16 11:22,2/29/16 11:35,1,-73.94830322,40.77443695,-73.96370697,40.75548553,Monday,10028,Manhattan,10022,Manhattan
67,id3913101,1,6/25/16 22:05,6/25/16 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,Saturday,10036,Manhattan,10034,Manhattan
68,id1680350,1,3/18/16 20:56,3/18/16 20:59,1,-74.00298309,40.72331238,-74.0015564,40.72882462,Friday,10012,Manhattan,10012,Manhattan
69,id0913838,2,2/3/16 16:22,2/3/16 16:37,5,-73.97833252,40.75407028,-73.95973206,40.77275848,Wednesday,10017,Manhattan,10021,Manhattan
71,id2846400,2,3/16/16 20:13,3/16/16 20:23,1,-73.99725342,40.71796036,-73.99925232,40.73001862,Wednesday,10013,Manhattan,10012,Manhattan
72,id1510700,2,2/20/16 21:58,2/20/16 21:59,1,-73.95839691,40.77262878,-73.95513153,40.7742424,Saturday,10075,Manhattan,10075,Manhattan
73,id0813128,2,2/20/16 18:57,2/20/16 19:07,2,-73.99120331,40.74955368,-73.97919464,40.74630737,Saturday,10001,Manhattan,10016,Manhattan
75,id0959273,1,3/20/16 23:16,3/20/16 23:27,1,-73.9888382,40.76890182,-73.95553589,40.77174377,Sunday,10019,Manhattan,10075,Manhattan
76,id0739660,1,5/16/16 13:07,5/16/16 13:34,3,-73.96472168,40.80660629,-73.98457336,40.76067734,Monday,10025,Manhattan,10019,Manhattan
77,id3769871,1,6/17/16 17:32,6/17/16 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,Friday,10029,Manhattan,10019,Manhattan
78,id1818021,1,3/23/16 0:34,3/23/16 0:45,1,-74.01116943,40.70360565,-74.00569153,40.74135971,Wednesday,10004,Manhattan,10011,Manhattan
79,id0982165,2,4/12/16 21:29,4/12/16 21:49,1,-73.98031616,40.7588501,-74.01013947,40.70508194,Tuesday,10020,Manhattan,10005,Manhattan
80,id1519515,2,6/11/16 12:52,6/11/16 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,Saturday,10075,Manhattan,10011,Manhattan
81,id1082443,2,2/25/16 14:56,2/25/16 15:09,1,-73.98712158,40.76847458,-73.97582245,40.75971222,Thursday,10019,Manhattan,10022,Manhattan
82,id2934884,2,1/7/16 19:32,1/7/16 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,Thursday,10036,Manhattan,10036,Manhattan
83,id1205949,1,6/5/16 18:43,6/5/16 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,Sunday,10022,Manhattan,10065,Manhattan
84,id2592310,2,6/13/16 7:20,6/13/16 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,Monday,10036,Manhattan,10020,Manhattan
85,id0883711,1,1/16/16 21:22,1/16/16 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,Saturday,10003,Manhattan,10021,Manhattan
87,id2107497,1,5/13/16 20:46,5/13/16 21:06,2,-74.01395416,40.7128334,-73.99755096,40.7180748,Friday,10007,Manhattan,10013,Manhattan
88,id2090852,2,1/28/16 11:25,1/28/16 11:30,1,-73.96882629,40.75419617,-73.97275543,40.74661255,Thursday,10017,Manhattan,10016,Manhattan
89,id1297351,2,6/24/16 14:24,6/24/16 14:32,1,-74.00328827,40.72697067,-73.99330139,40.73912048,Friday,10014,Manhattan,10011,Manhattan
90,id0667605,2,5/27/16 16:17,5/27/16 16:23,1,-73.99105835,40.73957062,-74.00610352,40.73455048,Friday,10011,Manhattan,10014,Manhattan
